source,chunk_id,text,chunk_length
refunds.md,3,"is incorrect.

## Cancelled Order Refund

If an order is cancelled and qualifies for a refund, the refund will be processed according to the applicable refund policy.

Customers should retain their order information until the refund has been completed.

## Refund Status

Customers can contact support to check the status of a refund. They should provide the relevant order or transaction information so the request can be located.",431
returns.md,0,"# Returns Support

## Return Eligibility

Customers may be able to return eligible products according to the applicable return policy.

Return eligibility may depend on the product, purchase date, and condition of the item.

## Start a Return

Customers who want to return a product should contact customer support or use the available return process.

They should provide the relevant order information when requesting a return.

## Return Condition

Returned products may need to be in an acceptabl",500
returns.md,1,"ion when requesting a return.

## Return Condition

Returned products may need to be in an acceptable condition and may need to include the original accessories or packaging.

Customers should review the applicable return requirements before sending an item back.

## Return Shipping

Return shipping instructions depend on the order and the applicable return policy.

Customers should follow the provided return instructions and use the recommended shipping method when required.

## Return Status",498
returns.md,2,"vided return instructions and use the recommended shipping method when required.

## Return Status

Customers can contact support to check the status of a return.

They should provide their order or return information so support can locate the request.

## Damaged Product

If a product arrives damaged, customers should contact support as soon as possible and provide the order information and details about the damage.

Photos or other evidence may be requested during the investigation.

## Wrong",499
returns.md,3,"ls about the damage.

Photos or other evidence may be requested during the investigation.

## Wrong Product Received

If a customer receives an incorrect product, they should contact support with their order information and explain the issue.

Support will provide instructions for returning the incorrect item and resolving the order.

## Exchange

If an exchange is available for the product, customers should contact support to confirm eligibility and receive the appropriate instructions.",492
technical_support.md,0,"# Technical Support

## Internet Connection Problems

If a customer is experiencing internet connection problems, they should first check whether the issue affects only one device or multiple devices.

Customers can restart their network equipment and check that all cables and connections are secure.

If the problem continues, they should contact technical support with details about the issue.

## Slow Internet

Customers experiencing slow internet should check whether multiple devices are using",500
technical_support.md,1,"Slow Internet

Customers experiencing slow internet should check whether multiple devices are using the connection at the same time.

They can restart their network equipment and test the connection again.

If the connection remains slow, they should contact technical support.

## Connection Keeps Disconnecting

If the internet connection repeatedly disconnects, customers should restart their network equipment and check all physical connections.

If the disconnections continue, technical suppor",499
technical_support.md,2,"work equipment and check all physical connections.

If the disconnections continue, technical support may need additional information about the device, connection, and frequency of the problem.

## Application Not Working

If an application is not working correctly, customers should restart the application and verify that they are using the latest available version.

If the problem continues, customers should contact technical support and describe the error.

## Login Problem

Customers who cann",500
technical_support.md,3,"omers should contact technical support and describe the error.

## Login Problem

Customers who cannot log in should verify that they are using the correct account credentials.

If they have forgotten their password, they should use the password reset process described in the Account Support documentation.

## Error Message

Customers who receive an error message should record the exact message and provide it to technical support.

The error message can help support identify the cause of the pro",500
technical_support.md,4,"d provide it to technical support.

The error message can help support identify the cause of the problem.

## Device Problem

If a device is not working correctly, customers should restart the device and check whether the problem continues.

If the issue remains unresolved, they should contact technical support with information about the device and problem.

## Service Unavailable

If a service is completely unavailable, customers should check whether the issue is limited to their device or affe",500
technical_support.md,5,"completely unavailable, customers should check whether the issue is limited to their device or affects other users or services.

If the service remains unavailable, they should contact technical support.

## Security Concern

Customers who suspect unauthorized access or suspicious activity should secure their account and contact customer support immediately.

Customers should never share passwords or other sensitive credentials with support agents.",452
